year,state_name,ac_name,total_electors,total_valid_votes,turnout,margin,num_candidates,winner_vote_share,turnout_change,avg_turnout,turnout_volatility,low_turnout_score,negative_trend_score,volatility_score,large_electorate_penalty,priority_score
2014,Andhra Pradesh,Chodavaram,196500,166583,84.78,77714,8,48.36,3.6299999999999955,82.93666666666667,1.815663331494395,0.17396884404319335,0.0,0.03372679441507973,0.039037761208265305,0.08023667262111982
2019,Andhra Pradesh,Chodavaram,210806,174724,82.88,61278,10,53.92,-1.9000000000000057,82.93666666666667,1.815663331494395,0.17396884404319335,0.020012639561828582,0.03372679441507973,0.0419225016566498,0.08652893853450684
2009,Andhra Pradesh,Choppadandi,200641,138764,69.16,32988,14,49.61,,73.90666666666665,5.28398839261909,0.2938573198796248,0.0,0.09815255235829043,0.06735060476784288,0.1439084989002923
2014,Andhra Pradesh,Choppadandi,204776,149395,72.96,54981,16,58.13,3.799999999999997,73.90666666666665,5.28398839261909,0.2938573198796248,0.0,0.09815255235829043,0.06875901467956921,0.14404933989146493
2018,Andhra Pradesh,Choppadandi,212727,169334,79.6,42127,13,53.79,6.640000000000001,73.90666666666665,5.28398839261909,0.2938573198796248,0.0,0.09815255235829043,0.07146718087258883,0.1443201565107669
2009,Andhra Pradesh,Darsi,178980,154589,86.37,25807,15,42.96,,89.64333333333333,2.840498782491083,0.08492653567003006,0.0,0.052763591581987485,0.017332476412102997,0.04625658022561982
2014,Andhra Pradesh,Darsi,199012,182010,91.46,85776,14,48.8,5.089999999999989,89.64333333333333,2.840498782491083,0.08492653567003006,0.0,0.052763591581987485,0.01930437586170003,0.04645377017057952
2019,Andhra Pradesh,Darsi,214440,195348,91.1,69029,9,57.29,-0.35999999999999943,89.64333333333333,2.840498782491083,0.08492653567003006,0.0037918685485569775,0.052763591581987485,0.020823069187797427,0.04774320006775636
2009,Andhra Pradesh,Denduluru,178893,153922,86.04,31153,9,45.27,,85.90333333333335,0.9821574890684985,0.13458134183041215,0.0,0.018244034090714588,0.02745284912058984,0.06022662846236677
2014,Andhra Pradesh,Denduluru,197906,171793,86.81,71936,6,53.67,0.769999999999996,85.90333333333335,0.9821574890684985,0.13458134183041215,0.0,0.018244034090714588,0.030418722103161336,0.060523215760623916
